"Step","lemon-spaceship-25 - train_loss","lemon-spaceship-25 - train_loss__MIN","lemon-spaceship-25 - train_loss__MAX","deep-hill-24 - train_loss","deep-hill-24 - train_loss__MIN","deep-hill-24 - train_loss__MAX","vague-gorge-23 - train_loss","vague-gorge-23 - train_loss__MIN","vague-gorge-23 - train_loss__MAX","fine-serenity-22 - train_loss","fine-serenity-22 - train_loss__MIN","fine-serenity-22 - train_loss__MAX","dark-sea-21 - train_loss","dark-sea-21 - train_loss__MIN","dark-sea-21 - train_loss__MAX","iconic-breeze-20 - train_loss","iconic-breeze-20 - train_loss__MIN","iconic-breeze-20 - train_loss__MAX","clear-microwave-19 - train_loss","clear-microwave-19 - train_loss__MIN","clear-microwave-19 - train_loss__MAX"
"0","1.1207462422847747","1.1207462422847747","1.1207462422847747","0.9863140111923218","0.9863140111923218","0.9863140111923218","1.2050216970443726","1.2050216970443726","1.2050216970443726","0.8344458823204041","0.8344458823204041","0.8344458823204041","1.0625559461116791","1.0625559461116791","1.0625559461116791","0.8488484321594238","0.8488484321594238","0.8488484321594238","0.853715161371231","0.853715161371231","0.853715161371231"
"1","0.4002828656196594","0.4002828656196594","0.4002828656196594","0.3988880237579346","0.3988880237579346","0.3988880237579346","0.47410185933113097","0.47410185933113097","0.47410185933113097","0.41235600037574766","0.41235600037574766","0.41235600037574766","0.4094797094345093","0.4094797094345093","0.4094797094345093","0.4568029450893402","0.4568029450893402","0.4568029450893402","0.44388463802337647","0.44388463802337647","0.44388463802337647"
"2","0.3440216205596924","0.3440216205596924","0.3440216205596924","0.3424874106884003","0.3424874106884003","0.3424874106884003","0.3832863226890564","0.3832863226890564","0.3832863226890564","0.3267220320224762","0.3267220320224762","0.3267220320224762","0.3350712562561035","0.3350712562561035","0.3350712562561035","0.33735686144828797","0.33735686144828797","0.33735686144828797","0.3543163451194763","0.3543163451194763","0.3543163451194763"
"3","0.2883106432914734","0.2883106432914734","0.2883106432914734","0.313148720407486","0.313148720407486","0.313148720407486","0.34718975648880007","0.34718975648880007","0.34718975648880007","0.27798422207832335","0.27798422207832335","0.27798422207832335","0.31225687999725343","0.31225687999725343","0.31225687999725343","0.31896098709106446","0.31896098709106446","0.31896098709106446","0.3041212481021881","0.3041212481021881","0.3041212481021881"
"4","0.2758327643871307","0.2758327643871307","0.2758327643871307","0.2610482046127319","0.2610482046127319","0.2610482046127319","0.3077864976406097","0.3077864976406097","0.3077864976406097","0.2564536675930023","0.2564536675930023","0.2564536675930023","0.28005271291732786","0.28005271291732786","0.28005271291732786","0.26527533617019655","0.26527533617019655","0.26527533617019655","0.2819586171627045","0.2819586171627045","0.2819586171627045"
"5","0.24286454205513","0.24286454205513","0.24286454205513","0.27464410881996154","0.27464410881996154","0.27464410881996154","0.2998731869220734","0.2998731869220734","0.2998731869220734","0.22075241861343384","0.22075241861343384","0.22075241861343384","0.273155215215683","0.273155215215683","0.273155215215683","0.2566815752983093","0.2566815752983093","0.2566815752983093","0.24256532649993898","0.24256532649993898","0.24256532649993898"
"6","0.24388108592033386","0.24388108592033386","0.24388108592033386","0.23832961421012877","0.23832961421012877","0.23832961421012877","0.2827062638759613","0.2827062638759613","0.2827062638759613","0.21970229279994966","0.21970229279994966","0.21970229279994966","0.2547568696498871","0.2547568696498871","0.2547568696498871","0.2514122897148132","0.2514122897148132","0.2514122897148132","","",""
"7","0.23828985633850097","0.23828985633850097","0.23828985633850097","0.22856935572624207","0.22856935572624207","0.22856935572624207","0.2820681294441223","0.2820681294441223","0.2820681294441223","0.20588792963027955","0.20588792963027955","0.20588792963027955","0.24396557788848877","0.24396557788848877","0.24396557788848877","0.230202135848999","0.230202135848999","0.230202135848999","","",""
"8","0.20896880331039427","0.20896880331039427","0.20896880331039427","0.2141468832015991","0.2141468832015991","0.2141468832015991","0.2648698398590088","0.2648698398590088","0.2648698398590088","0.20150060279369356","0.20150060279369356","0.20150060279369356","0.2261876923561096","0.2261876923561096","0.2261876923561096","0.22842170672416687","0.22842170672416687","0.22842170672416687","","",""
"9","0.20881276550292968","0.20881276550292968","0.20881276550292968","0.20012141737937927","0.20012141737937927","0.20012141737937927","0.26011929144859314","0.26011929144859314","0.26011929144859314","0.18593435497283936","0.18593435497283936","0.18593435497283936","0.20841060962677002","0.20841060962677002","0.20841060962677002","0.21977055675983428","0.21977055675983428","0.21977055675983428","","",""
